SN2006D 0.0085 193.1414 -9.7752
filter V
 53861.136 18.590 0.016
 53862.206 18.604 0.016
 53870.169 18.749 0.032
 53891.123 19.082 0.025
filter u
 53751.342 15.251 0.021
 53752.369 15.102 0.024
 53754.264 14.993 0.018
 53760.298 15.269 0.017
 53761.304 15.389 0.015
 53762.310 15.500 0.018
 53763.305 15.611 0.018
 53764.350 15.769 0.018
 53765.333 15.883 0.018
 53772.317 16.921 0.017
 53773.246 17.049 0.016
 53774.335 17.206 0.018
 53778.384 17.649 0.022
 53781.247 17.898 0.034
 53783.243 18.002 0.040
 53785.339 18.058 0.027
 53786.399 18.130 0.038
 53790.323 18.323 0.026
 53795.350 18.520 0.030
 53798.319 18.506 0.051
 53799.327 18.609 0.030
 53802.317 18.717 0.030
 53804.361 18.680 0.035
 53805.313 18.742 0.031
 53805.319 18.687 0.030
 53809.260 18.679 0.058
 53815.248 18.945 0.036
 53818.320 19.045 0.029
 53819.310 19.060 0.024
 53824.282 19.183 0.029
 53831.244 19.369 0.030
 53835.254 19.528 0.049
 53840.189 19.622 0.071
filter g
 53752.374 14.508 0.006
 53754.255 14.316 0.007
 53761.295 14.309 0.007
 53763.296 14.438 0.008
 53765.325 14.591 0.007
 53767.354 14.759 0.006
 53771.275 15.169 0.006
 53772.309 15.283 0.006
 53773.233 15.392 0.006
 53774.326 15.520 0.006
 53778.388 15.946 0.007
 53781.238 16.214 0.009
 53783.234 16.366 0.010
 53785.344 16.525 0.008
 53786.403 16.588 0.010
 53788.392 16.704 0.008
 53790.314 16.798 0.008
 53795.353 16.964 0.006
 53798.310 17.047 0.008
 53799.310 17.082 0.007
 53802.322 17.156 0.008
 53804.366 17.190 0.007
 53805.325 17.213 0.008
 53809.251 17.279 0.014
 53815.239 17.412 0.009
 53818.327 17.460 0.009
 53819.317 17.492 0.008
 53824.267 17.589 0.007
 53831.229 17.708 0.008
 53835.263 17.774 0.009
 53840.174 17.843 0.011
 53845.192 17.941 0.009
 53850.196 18.055 0.009
 53858.122 18.203 0.011
 53861.118 18.239 0.010
 53862.188 18.275 0.010
 53870.151 18.427 0.018
 53891.106 18.766 0.014
filter r
 53752.377 14.483 0.006
 53754.258 14.293 0.006
 53761.298 14.228 0.006
 53763.299 14.342 0.007
 53765.327 14.512 0.007
 53767.357 14.689 0.006
 53771.278 14.907 0.005
 53772.311 14.935 0.005
 53773.237 14.964 0.006
 53774.328 14.983 0.007
 53778.392 15.116 0.008
 53781.241 15.255 0.007
 53783.237 15.396 0.009
 53785.347 15.578 0.008
 53786.406 15.675 0.007
 53788.396 15.834 0.008
 53790.317 15.948 0.007
 53795.356 16.215 0.005
 53798.312 16.341 0.009
 53799.318 16.387 0.007
 53802.325 16.499 0.008
 53804.370 16.586 0.006
 53805.330 16.608 0.007
 53809.254 16.760 0.011
 53815.242 16.982 0.009
 53818.330 17.085 0.009
 53819.322 17.116 0.009
 53824.271 17.301 0.006
 53828.334 17.471 0.005
 53831.234 17.557 0.011
 53835.268 17.706 0.009
 53840.178 17.873 0.013
 53845.197 18.015 0.009
 53850.191 18.216 0.011
 53858.126 18.476 0.013
 53861.122 18.541 0.012
 53862.192 18.587 0.013
 53870.156 18.846 0.020
 53891.110 19.388 0.026
filter i
 53752.380 14.687 0.006
 53754.261 14.575 0.006
 53760.294 14.843 0.009
 53761.301 14.893 0.007
 53762.306 14.966 0.009
 53763.301 15.058 0.009
 53764.346 15.175 0.009
 53765.330 15.290 0.010
 53767.360 15.475 0.006
 53771.281 15.532 0.006
 53772.314 15.498 0.006
 53773.241 15.469 0.006
 53774.331 15.437 0.008
 53778.395 15.377 0.008
 53781.243 15.373 0.010
 53783.239 15.443 0.010
 53785.350 15.606 0.012
 53786.409 15.696 0.011
 53788.399 15.882 0.009
 53790.320 16.001 0.008
 53795.359 16.311 0.007
 53798.316 16.442 0.009
 53799.321 16.498 0.007
 53802.328 16.635 0.011
 53804.373 16.729 0.009
 53805.337 16.782 0.008
 53809.257 16.923 0.015
 53815.244 17.191 0.011
 53818.333 17.295 0.012
 53819.326 17.355 0.010
 53824.276 17.551 0.009
 53828.334 17.684 0.006
 53831.238 17.783 0.013
 53835.277 17.942 0.012
 53840.183 18.083 0.019
 53845.204 18.221 0.017
 53850.187 18.418 0.015
 53858.133 18.664 0.015
 53861.127 18.725 0.019
 53862.197 18.765 0.019
 53870.160 18.982 0.029
 53891.115 19.492 0.042
filter Y
 53773.345 15.240 0.009
 53773.351 15.228 0.009
 53776.357 15.021 0.013
 53776.361 15.030 0.020
 53779.391 14.870 0.016
 53779.401 14.844 0.019
 53782.360 14.713 0.016
 53782.363 14.712 0.017
 53786.370 14.814 0.009
 53786.375 14.822 0.009
 53789.338 15.019 0.014
 53789.343 15.016 0.015
 53796.345 15.476 0.018
 53796.348 15.493 0.021
 53800.353 15.707 0.015
 53800.358 15.764 0.020
 53800.363 15.711 0.015
 53800.371 15.738 0.016
 53803.374 15.925 0.035
 53803.380 15.861 0.028
 53807.276 16.138 0.023
 53807.281 16.155 0.030
 53813.284 16.455 0.028
 53813.288 16.463 0.029
 53817.360 16.679 0.024
 53817.365 16.683 0.030
 53835.265 17.553 0.019
 53835.270 17.549 0.021
 53845.220 17.965 0.025
 53845.225 17.976 0.027
filter J
 53773.358 16.132 0.010
 53773.365 16.144 0.010
 53776.369 16.030 0.020
 53776.375 16.045 0.024
 53779.405 15.892 0.032
 53779.409 15.904 0.039
 53782.366 15.846 0.022
 53782.371 15.748 0.020
 53786.382 15.974 0.009
 53786.389 15.982 0.009
 53789.347 16.308 0.028
 53789.351 16.306 0.027
 53796.352 16.942 0.034
 53796.360 16.992 0.026
 53803.383 17.470 0.078
 53803.393 17.607 0.120
 53807.297 17.832 0.063
 53813.291 18.207 0.065
 53813.306 18.147 0.061
 53817.370 18.485 0.128
 53817.385 18.540 0.154
 53835.284 19.654 0.076
 53845.233 19.842 0.124
filter H
 53773.370 14.981 0.022
 53773.375 14.969 0.022
 53776.379 14.894 0.017
 53776.386 14.921 0.021
 53779.412 14.909 0.022
 53786.395 15.275 0.023
 53786.401 15.268 0.023
 53789.356 15.528 0.038
 53789.361 15.461 0.033
 53796.369 15.927 0.021
 53796.378 15.863 0.022
 53800.380 16.083 0.030
 53800.388 16.095 0.032
 53803.402 16.320 0.062
 53803.411 16.245 0.053
 53807.308 16.477 0.048
 53813.320 16.730 0.041
 53813.334 16.697 0.046
 53817.400 17.046 0.097
 53835.291 17.855 0.046
 53845.253 18.463 0.089
filter K
 53773.380 15.018 0.011
 53773.386 15.031 0.011
 53835.307 17.826 0.084
