SN2005ke 0.0049 53.7681 -24.9441
filter V
 53690.282 15.752 0.009
 53694.270 14.807 0.008
 53695.216 14.695 0.008
 53698.218 14.397 0.007
 53699.217 14.346 0.010
 53702.207 14.335 0.011
 53703.282 14.335 0.007
 53706.233 14.431 0.013
 53707.335 14.468 0.006
 53712.211 14.713 0.007
 53713.178 14.787 0.008
 53716.177 14.989 0.006
 53720.181 15.340 0.009
 53721.152 15.433 0.008
 53725.223 15.735 0.006
 53730.234 16.025 0.009
 53736.173 16.319 0.008
 53737.173 16.364 0.011
 53741.145 16.544 0.008
 53746.175 16.742 0.011
 53750.127 16.910 0.009
 53755.135 17.096 0.009
 53761.193 17.310 0.011
 53763.085 17.374 0.012
 53764.102 17.407 0.011
 53765.083 17.426 0.016
 53767.061 17.476 0.010
 53771.070 17.595 0.013
 53773.082 17.661 0.015
 53774.918 17.698 0.014
 53778.079 17.777 0.017
 53784.061 17.960 0.015
 53786.071 18.000 0.018
 53798.037 18.271 0.019
 53804.083 18.426 0.028
 53809.040 18.510 0.029
 53819.018 18.688 0.027
filter Y
 53691.225 15.065 0.026
 53691.230 15.089 0.063
 53692.234 14.876 0.013
 53692.237 14.867 0.017
 53693.208 14.729 0.017
 53693.212 14.667 0.017
 53696.221 14.279 0.019
 53696.224 14.282 0.018
 53697.151 14.186 0.010
 53697.155 14.161 0.011
 53700.204 14.043 0.016
 53700.207 14.045 0.017
 53701.190 14.060 0.018
 53701.193 14.096 0.023
 53704.181 14.121 0.022
 53704.190 14.085 0.026
 53705.186 14.155 0.026
 53705.189 14.118 0.024
 53709.218 14.134 0.016
 53709.221 14.135 0.015
 53710.232 14.116 0.023
 53710.235 14.134 0.018
 53714.150 14.228 0.022
 53714.153 14.218 0.019
 53715.155 14.223 0.016
 53715.159 14.252 0.013
 53717.148 14.294 0.016
 53717.152 14.296 0.016
 53718.196 14.334 0.016
 53718.199 14.327 0.018
 53721.130 14.476 0.019
 53721.136 14.512 0.018
 53724.104 14.754 0.017
 53724.108 14.742 0.020
 53727.208 14.946 0.016
 53731.165 15.225 0.020
 53731.169 15.153 0.022
 53743.144 15.845 0.017
 53750.136 16.224 0.018
 53750.142 16.237 0.019
 53756.136 16.502 0.019
 53756.142 16.496 0.019
 53773.083 17.119 0.021
 53773.088 17.107 0.021
 53776.070 17.161 0.036
 53776.075 17.233 0.040
 53784.012 17.441 0.025
 53784.019 17.448 0.024
 53786.021 17.528 0.022
 53789.012 17.563 0.029
 53789.020 17.519 0.039
filter J
 53691.235 15.105 0.117
 53691.240 15.105 0.075
 53692.241 14.811 0.019
 53692.244 14.811 0.016
 53693.215 14.627 0.017
 53693.226 14.609 0.017
 53696.227 14.204 0.016
 53696.230 14.221 0.016
 53697.158 14.124 0.013
 53697.161 14.119 0.011
 53700.210 14.010 0.017
 53700.214 14.022 0.014
 53701.197 14.037 0.018
 53701.200 14.048 0.015
 53704.194 14.254 0.021
 53704.197 14.243 0.018
 53705.196 14.282 0.020
 53705.199 14.263 0.019
 53709.212 14.579 0.016
 53709.215 14.625 0.017
 53710.226 14.666 0.018
 53710.229 14.651 0.019
 53714.143 14.901 0.017
 53714.146 14.881 0.017
 53715.146 14.946 0.016
 53715.151 14.978 0.016
 53717.161 15.057 0.019
 53717.166 15.097 0.020
 53718.203 15.134 0.019
 53718.208 15.129 0.019
 53721.143 15.420 0.018
 53721.149 15.436 0.017
 53724.111 15.898 0.024
 53724.116 15.781 0.022
 53731.173 16.624 0.028
 53731.182 16.575 0.026
 53743.118 17.551 0.024
 53743.136 17.534 0.021
 53750.152 18.069 0.030
 53750.158 18.101 0.029
 53756.149 18.491 0.048
 53756.156 18.520 0.036
 53773.096 19.381 0.082
 53773.102 19.367 0.086
 53784.027 19.829 0.193
 53784.035 19.634 0.144
 53786.029 20.070 0.154
 53786.037 19.610 0.082
filter H
 53691.247 15.009 0.080
 53691.257 14.922 0.062
 53692.249 14.737 0.015
 53692.256 14.737 0.018
 53693.229 14.552 0.014
 53693.235 14.551 0.014
 53696.233 14.137 0.013
 53696.238 14.163 0.014
 53697.164 14.063 0.010
 53697.169 14.039 0.012
 53700.217 13.953 0.008
 53700.222 13.968 0.011
 53701.203 13.968 0.016
 53701.208 13.959 0.014
 53704.201 14.012 0.016
 53704.206 13.970 0.013
 53705.203 14.041 0.014
 53705.208 14.050 0.017
 53709.225 14.105 0.011
 53709.230 14.091 0.013
 53710.238 14.161 0.013
 53710.243 14.129 0.014
 53714.156 14.360 0.015
 53714.161 14.373 0.016
 53715.162 14.430 0.013
 53715.171 14.406 0.014
 53717.172 14.559 0.012
 53717.182 14.558 0.014
 53718.214 14.641 0.014
 53718.223 14.654 0.014
 53721.155 14.961 0.024
 53721.162 14.937 0.024
 53724.122 15.202 0.017
 53724.131 15.200 0.022
 53731.191 15.611 0.019
 53731.200 15.633 0.023
 53743.103 16.319 0.025
 53743.112 16.315 0.025
 53750.164 16.699 0.027
 53750.170 16.646 0.027
 53756.162 17.005 0.029
 53756.168 16.937 0.030
 53773.109 17.716 0.049
 53773.116 17.756 0.053
 53776.097 17.918 0.145
 53784.043 18.260 0.089
 53784.051 18.254 0.084
 53786.045 18.171 0.049
 53786.053 18.283 0.058
filter K
 53721.168 15.179 0.021
 53721.174 15.132 0.020
 53750.177 16.962 0.051
 53750.183 16.970 0.047
 53756.175 17.442 0.076
 53756.181 17.325 0.063
